tp,layer_thick_mic
1,0.81
1,0.729
1,0.864
1,0.837
1,0.837
1,0.945
1,0.945
1,0.837
1,0.702
1,0.945
1,0.81
1,0.81
1,0.837
1,0.945
1,0.81
1,1.107
1,0.891
1,0.918
1,0.864
1,0.945
3,0.756
3,0.945
3,0.999
3,0.972
3,0.972
3,0.999
3,1.026
3,0.999
3,0.837
3,1.053
3,0.972
3,0.972
3,0.918
3,0.918
3,0.972
3,0.945
3,0.864
3,0.972
3,0.837
4,0.837
4,0.756
4,0.702
4,0.864
4,0.729
4,0.729
4,0.756
4,0.783
4,0.81
4,0.918
4,0.918
4,0.783
4,0.756
4,0.891
4,0.837
4,0.837
4,0.999
4,0.729
4,0.81
4,0.702
4,0.729
5,0.81
5,0.756
5,0.648
5,0.729
5,0.729
5,0.756
5,0.81
5,0.864
5,0.324
5,0.729
5,0.675
5,0.675
5,0.729
5,0.675
5,0.702
5,0.702
5,0.648
5,0.675
5,0.54
5,0.54
5,0.675
5,0.621
5,0.756
5,0.756
5,0.648
6,0.567
6,0.594
6,0.459
6,0.594
6,0.675
6,0.621
6,0.54
6,0.648
6,0.648
6,0.648
6,0.621
6,0.54
6,0.567
6,0.594
6,0.648
6,0.702
6,0.459
6,0.621
6,0.54
6,0.594
6,0.54
6,0.594
6,0.675
6,0.648
6,0.567
6,0.567
6,0.594
6,0.54
6,0.486
7,0.756
7,0.81
7,0.81
7,0.648
7,0.81
7,0.837
7,0.837
7,0.837
7,0.918
7,0.918
7,0.567
7,0.621
7,0.702
7,0.891
7,0.702
7,0.702
7,0.81
7,0.81
7,0.837
7,0.756
7,0.81
8,0.621
8,0.648
8,0.675
8,0.783
8,0.567
8,0.513
8,0.675
8,0.513
8,0.486
8,0.378
8,0.459
8,0.594
8,0.486
8,0.621
8,0.729
8,0.729
8,0.783
8,0.783
8,0.837
8,0.783
8,0.837
8,0.702
8,0.891
8,0.891
8,0.864
8,0.702
9,0.513
9,0.594
9,0.648
9,0.837
9,0.756
9,0.702
9,0.729
9,0.621
9,0.675
9,0.729
9,0.621
9,0.648
9,0.675
9,0.594
9,0.702
9,0.756
9,0.864
9,0.864
9,0.783
9,0.756
9,0.648
9,0.621
10,0.648
10,0.594
10,0.648
10,0.756
10,0.729
10,0.648
10,0.648
10,0.729
10,0.729
10,0.675
10,0.756
10,0.756
10,0.756
10,0.702
10,0.702
10,0.783
10,0.648
10,0.756
10,0.729
10,0.756
10,0.81
10,0.702
11,0.756
11,0.729
11,0.675
11,0.621
11,0.756
11,0.81
11,0.702
11,0.756
11,0.702
11,0.702
11,0.675
11,0.648
11,0.729
11,0.675
11,0.675
11,0.729
11,0.729
11,0.648
11,0.594
11,0.729
11,0.756
11,0.675
11,0.729
11,0.648
